orde	waterlichaam_code	waterlichaam_naam	categorie	categorie_2	type	statuut	speerpunt_aandachtsgebied	Stroomgebied	bekken	beoordeling_eco	beoordeling_fc	totale_beoordeling_bio	beoordeling_hydmo	fb_eqr	fb_beoordeling	fb_jaar	fp_eqr	fp_beoordeling	fp_jaar	mf_eqr	mf_beoordeling	mf_jaar	mmif_eqr	mmif_beoordeling	mmif_jaar	vis_eqr	vis_beoordeling	vis_jaar	AantalBemonsterdeBiota	AantalNietRelevanteBiota	AantalRelevanteBiota	VerhoudingBemonsterdeBiotaTovRelevanteBiota
VL	VL05_5	IEPERLEE + VERWEZEN KANAAL IEPER-KOMEN	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	0.44	Matig	2018	NA	n.r.	NA	0.02	Slecht	2018	0.45	Matig	2017	0.45	Matig	2013-2018	4	1	4	4/apr
L1	L111_1065	ASBEEK	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.45	Matig	2014	NA	n.r.	NA	0.5	Matig	2017	1	Goed	2017	0.58	Matig	2013-2018	4	1	4	4/apr
L1	L111_1006	HOOFDSLOOT	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Brugse Polders	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.4	Matig	2016	NA	n.b.	NA	0.37	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL05_25	OUDE KALE	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	3	3	3	Matig	0.45	Matig	2017	NA	n.r.	NA	0.54	Matig	2017	0.75	Goed	2017	0.45	Matig	2013-2018	4	1	4	4/apr
L1	L107_136	HOGE WATERING	rivier	rivier	Pz	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	4	3	4	Ontoereikend	0.46	Matig	2013	NA	n.r.	NA	NA	n.b.	NA	NA	n.b.	NA	0.335	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL05_75	VONDELBEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Dender	5	3	5	Matig	0.46	Matig	2017	NA	n.r.	NA	0	Slecht	2017	0.25	Ontoereikend	2018	0.2	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_246	STAMPKOTBEEK - MOLENBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	5	3	5	Matig	0.47	Matig	2013	NA	n.r.	NA	0.03	Slecht	2017	0.75	Goed	2017	0.35	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_654	LARUMSE LOOP	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Ontoereikend	0.48	Matig	2017	NA	n.r.	NA	0.5	Matig	2017	0.85	Goed	2017	0.5	Matig	2013-2018	4	1	4	4/apr
VL	VL05_118	ZWARTWATER	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Demer	4	3	4	Ontoereikend	0.48	Matig	2017	NA	n.r.	NA	0.47	Matig	2017	0.85	Goed	2018	0.35	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL05_18	KERKEBEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	4	3	4	Ontoereikend	0.48	Matig	2018	NA	n.r.	NA	0.5	Matig	2018	0.7	Goed	2017	0.2	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL11_107	GROTE GETE + BORGGRACHT	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Demer	3	3	3	Matig	0.48	Matig	2014	NA	n.r.	NA	0.48	Matig	2017	0.63	Goed	2018	0.486667	Matig	2013-2018	4	1	4	4/apr
VL	VL11_120	AA I	rivier	rivier	BgK	Sterk Veranderd	Aandachtsgebied	 Schelde	Nete	3	3	3	Matig	0.48	Matig	2017	NA	n.r.	NA	0.6	Goed	2017	0.8	Goed	2018	0.63	Matig	2013-2018	4	1	4	4/apr
L1	L107_603	HEERLESE LOOP	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	4	3	4	Matig	0.49	Matig	2016	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2016	0.45	Matig	2013-2018	3	1	4	3/apr
L1	L107_684	SCHOON SCHIJN	rivier	rivier	Pz	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	3	3	3	Matig	0.49	Matig	2015	NA	n.r.	NA	0.72	Goed	2018	0.75	Goed	2018	0.6	Matig	2013-2018	4	1	4	4/apr
L1	L111_1028	LANGELEDE	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Gentse Kanalen	3	3	3	Ontoereikend	0.49	Matig	2014	NA	n.r.	NA	0.48	Matig	2014	0.8	Goed	2016	0.5	Matig	2013-2018	4	1	4	4/apr
L1	L107_67	LIJSTERBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	4	3	4	Matig	0.5	Matig	2013	NA	n.r.	NA	0.5	Matig	2018	0.6	Matig	2016	0.37	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_729	STAPKENSLOOP	rivier	rivier	BkK	Sterk Veranderd	Andere         	 Schelde	Nete	5	3	5	Ontoereikend	0.5	Matig	2014	NA	n.r.	NA	0.5	Matig	2017	0.7	Goed	2017	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_848	DEMER L1	rivier	rivier	Bk	Sterk Veranderd	Speerpuntgebied	 Schelde	Demer	4	3	4	Matig	0.51	Matig	2018	NA	n.r.	NA	0.37	Ontoereikend	2018	0.65	Matig	2017	0.45	Matig	2013-2018	4	1	4	4/apr
L1	L111_1029	KLEINE WATERGANG	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Gentse Kanalen	4	3	4	Matig	0.33	Ontoereikend	2018	NA	n.r.	NA	0.33	Ontoereikend	2013	0.6	Matig	2018	0.5	Matig	2013-2018	4	1	4	4/apr
VL	VL05_148	WEERIJSEBEEK	rivier	rivier	BgK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	3	3	3	Matig	0.51	Matig	2013	NA	n.r.	NA	0.67	Goed	2016	0.8	Goed	2016	0.58	Matig	2013-2018	4	1	4	4/apr
L1	L111_1031	KANAAL VAN STEKENE	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Gentse Kanalen	4	3	4		NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.8	Goed	2018	0.4	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L107_655	DALEMANSLOOP	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.52	Matig	2017	NA	n.r.	NA	0.63	Goed	2017	0.95	Goed	2017	0.75	Goed	2013-2018	4	1	4	4/apr
L1	L111_1033	PAPENMEERSBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dender	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.65	Matig	2016	0.65	Goed	2013-2018	2	1	4	2/apr
VL	VL11_96	BEGIJNENBEEK	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Demer	3	3	3	Ontoereikend	0.52	Matig	2017	NA	n.r.	NA	0.64	Goed	2017	0.75	Goed	2017	0.46	Matig	2013-2018	4	1	4	4/apr
VL	VL05_26	POEKEBEEK	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	4	3	4	Matig	0.53	Matig	2017	NA	n.r.	NA	0.3	Ontoereikend	2017	0.65	Matig	2017	0.27	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_1037	MOLENBEEK - LAKEBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	4	3	4	Ontoereikend	0.33	Ontoereikend	2015	NA	n.r.	NA	0.3	Ontoereikend	2015	0.7	Goed	2018	0.46	Matig	2013-2018	4	1	4	4/apr
L1	L111_1038	MAALBEEK - AMELVONNEBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Beneden-Schelde	4	3	4	Matig	0.34	Ontoereikend	2015	NA	n.r.	NA	0.33	Ontoereikend	2015	0.8	Goed	2018	0.38	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_1039	STEENVOORDBEEK (TERNAT)	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dender	5	3	5	Matig	0.56	Matig	2018	NA	n.r.	NA	0.15	Slecht	2013	0.55	Matig	2017	0.23	Slecht	2013-2018	4	1	4	4/apr
L1	L111_1040	BELLEBEEK L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dender	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.7	Goed	2016	0.23	Slecht	2013-2018	2	1	4	2/apr
L1	L111_1041	WINGE L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	0.1	Slecht	2014	0.45	Ontoereikend	2017	0.275	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L111_1042	LEIBEEK - LIPSEBEEK L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dijle Zenne	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.4	Ontoereikend	2018	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L111_1043	WEESBEEK L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dijle Zenne	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	0.43	Matig	2014	0.6	Matig	2018	0.515	Matig	2013-2018	3	1	4	3/apr
VL	VL05_81	DIJLE V	rivier	rivier	Rg	Sterk Veranderd	Aandachtsgebied	 Schelde	Dijle Zenne	4	3	4	Ontoereikend	0.53	Matig	2017	NA	n.b.	NA	0.81	Goed	2017	0.35	Ontoereikend	2016	0.408	Ontoereikend	2013-2018	4	0	5	4/mei
L1	L111_1045	GROTEBEEK - WINTERBEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	0.24	Ontoereikend	2017	NA	n.r.	NA	0.35	Ontoereikend	2017	0.75	Goed	2018	0.4725	Matig	2013-2018	4	1	4	4/apr
L1	L111_1046	GROTE MOTTE	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.65	Matig	2018	0.54	Matig	2013-2018	2	1	4	2/apr
L1	L111_1047	BAREBEEK L1	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	3	3	3	Matig	0.45	Matig	2017	NA	n.r.	NA	0.5	Matig	2017	0.85	Goed	2017	0.55	Matig	2013-2018	4	1	4	4/apr
VL	VL17_60	MOLENBEEK - MAARKEBEEK	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Boven-Schelde	4	3	4	Ontoereikend	0.53	Matig	2017	NA	n.r.	NA	0.27	Ontoereikend	2017	0.45	Goed	2017	0.58	Goed	2013-2018	4	1	4	4/apr
L1	L111_1020	OOSSEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	5	3	5	Ontoereikend	0.54	Matig	2013	NA	n.r.	NA	0.35	Ontoereikend	2017	0.6	Matig	2017	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L111_1050	WEHAGENBEEK	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	4	3	4	Matig	0.54	Matig	2016	NA	n.r.	NA	0.46	Matig	2016	0.7	Goed	2016	0.37	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL11_88	VROUWVLIET	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Dijle Zenne	4	3	4	Matig	0.54	Matig	2018	NA	n.r.	NA	0.62	Goed	2018	0.7	Goed	2017	0.275	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_253	STAMPKOTBEEK - MUNKBOSBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	5	3	5	Matig	0.55	Matig	2013	NA	n.r.	NA	0.02	Slecht	2013	0.6	Matig	2018	0.2	Slecht	2013-2018	4	1	4	4/apr
VL	VL08_7	IJZER I	rivier	rivier	Rk	Sterk Veranderd	Andere         	 Schelde	Ijzer	3	3	3	Matig	0.55	Matig	2016	NA	n.r.	NA	NA	n.r.	NA	0.7	Goed	2016	0.63	Matig	2013-2018	3	2	3	3/mrt
L1	L111_1056	VROUWVLIET L1	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.4	Ontoereikend	2013	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L111_1057	GROTE MOLENBEEK L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Matig	0.52	Matig	2018	NA	n.r.	NA	0.33	Ontoereikend	2018	0.5	Matig	2015	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L111_1058	ZWARTE BEEK (WILLEBROEK)	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.25	Slecht	2018	0.2	Slecht	2013-2018	2	1	4	2/apr
VL	VL11_128	MOL NEET	rivier	rivier	BgK	Sterk Veranderd	Andere         	 Schelde	Nete	3	3	3	Matig	0.55	Matig	2017	NA	n.r.	NA	0.65	Goed	2015	0.9	Goed	2015	0.5	Matig	2013-2018	4	1	4	4/apr
L1	L111_1060	GROOT SCHIJN L1	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	3	3	3	Goed	0.61	Goed	2018	NA	n.r.	NA	0.53	Matig	2018	0.85	Goed	2018	0.53	Matig	2013-2018	4	1	4	4/apr
L1	L111_1062	HERSELTSELOOP	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.45	Ontoereikend	2017	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L111_1063	STEENKENSBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.25	Slecht	2017	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L111_1064	ST. TRUDOLEKEN	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Brugse Polders	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.33	Ontoereikend	2014	0.75	Goed	2015	0.37	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_722	WAMP L1	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.56	Matig	2017	NA	n.r.	NA	0.41	Matig	2017	0.93	Goed	2017	0.63	Matig	2013-2018	4	1	4	4/apr
VL	VL05_30	GROTE MOLENBEEK - DE VLIET	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	4	3	4	Matig	0.56	Matig	2018	NA	n.r.	NA	0.42	Matig	2018	0.5	Matig	2018	0.4	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_274	MOLENBEEK - KALSTERBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	5	3	5	Matig	0.57	Matig	2018	NA	n.r.	NA	0.22	Ontoereikend	2013	0.65	Matig	2017	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L111_1069	AFWATERINGSGRACHT	rivier	rivier	Pb	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	3	3	3	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.57	Matig	2018	0.6	Goed	2018	0.6	Matig	2013-2018	3	2	3	3/mrt
L1	L107_602	BLAUWPUTTEN EN LEILOOP	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	3	3	3	Matig	0.57	Matig	2016	NA	n.r.	NA	0.54	Matig	2016	0.85	Goed	2016	0.45	Matig	2013-2018	4	1	4	4/apr
L1	L111_1019	MOLENBEEK - MARKEBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Boven-Schelde	5	3	5	Matig	0.57	Matig	2015	NA	n.r.	NA	0.1	Slecht	2015	0.8	Goed	2018	0.43	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_1072	POVERSBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Brugse Polders	5	3	5	Matig	0.4	Matig	2013	NA	n.r.	NA	0.2	Ontoereikend	2018	0.35	Ontoereikend	2015	0.2	Slecht	2013-2018	4	1	4	4/apr
VL	VL05_31	KALKENSE VAART	rivier	rivier	Bg	Sterk Veranderd	Speerpuntgebied	 Schelde	Beneden-Schelde	5	3	5	Ontoereikend	0.57	Matig	2017	NA	n.r.	NA	0.17	Slecht	2017	0.75	Goed	2017	0.45	Matig	2013-2018	4	1	4	4/apr
L1	L111_1066	LOEIJENS NEETJE	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	4	3	4	Matig	0.58	Matig	2017	NA	n.r.	NA	0.47	Matig	2017	0.95	Goed	2017	0.315	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL05_137	ITTERBEEK I	rivier	rivier	BgK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	3	3	3	Matig	0.58	Matig	2016	NA	n.r.	NA	0.4	Matig	2016	0.75	Goed	2016	0.563333	Matig	2013-2018	4	1	4	4/apr
L1	L111_1078	GRONDBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2016	0	Slecht	2013-2018	2	1	4	2/apr
L1	L111_1079	HELDERBEEK	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Demer	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.5	Matig	2013	0.64	Matig	2013-2018	2	1	4	2/apr
L1	L111_1080	ZWARTEBEEK L1	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Demer	4	3	4	Goed	0.52	Matig	2018	NA	n.r.	NA	0.23	Ontoereikend	2018	0.75	Goed	2016	0.64	Matig	2013-2018	4	1	4	4/apr
L1	L111_1081	MANGELBEEK L1	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.35	Ontoereikend	2016	0.37	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL11_145	MARK (Maas)	rivier	rivier	BgK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	3	3	3	Matig	0.58	Matig	2016	NA	n.r.	NA	0.63	Goed	2016	0.7	Goed	2016	0.466667	Matig	2013-2018	4	1	4	4/apr
L1	L111_1083	MISERIKBEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Goed	NA	n.b.	NA	NA	n.r.	NA	0.2	Ontoereikend	2017	0.7	Goed	2017	0.45	Matig	2013-2018	3	1	4	3/apr
L1	L107_336	DE RIJT	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	3	3	3	Matig	0.59	Matig	2013	NA	n.r.	NA	0.4	Matig	2017	0.6	Matig	2017	0.65	Goed	2013-2018	4	1	4	4/apr
L1	L111_1086	LOZERBROEKBEEK	rivier	rivier	BkK	Natuurlijk     	Andere         	 Maas	Maas	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.75	Goed	2018	0.43	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L111_1087	HORSTGATERBEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.36	Ontoereikend	2018	0.6	Matig	2018	0.43	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L111_1088	ITTERBEEK L1	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	3	3	3	Matig	0.43	Matig	2013	NA	n.r.	NA	0.47	Matig	2014	0.7	Goed	2017	0.65	Goed	2013-2018	4	1	4	4/apr
L1	L107_638	GROTE CALIE	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Schelde	Nete	3	3	3	Matig	0.6	Goed	2017	NA	n.r.	NA	0.54	Matig	2017	0.6	Matig	2017	0.5	Matig	2013-2018	4	1	4	4/apr
L1	L111_1067	KLEINE NETE L1	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.6	Goed	2016	NA	n.r.	NA	0.41	Matig	2016	0.85	Goed	2016	0.65	Goed	2013-2018	4	1	4	4/apr
L1	L111_1102	KLEINE A - WILDERTSE BEEK	rivier	rivier	BkK	Sterk Veranderd	Andere         	 Maas	Maas	4	3	4	Matig	0.6	Goed	2016	NA	n.r.	NA	0.55	Matig	2016	0.8	Goed	2016	0.4	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL05_138	ITTERBEEK II	rivier	rivier	BgK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	3	3	3	Matig	0.61	Goed	2016	NA	n.r.	NA	0.54	Matig	2016	0.85	Goed	2016	0.5	Matig	2013-2018	4	1	4	4/apr
L1	L107_235	REIGERBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	5	3	5	Matig	0.62	Goed	2016	NA	n.r.	NA	0.36	Ontoereikend	2016	0.6	Matig	2014	0.2	Slecht	2013-2018	4	1	4	4/apr
VL	VL05_87	VOER (Leuven)	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Dijle Zenne	3	3	2	Ontoereikend	0.62	Goed	2018	NA	n.r.	NA	0.6	Goed	2017	0.65	Goed	2017	0.48	Goed	2013-2018	4	1	4	4/apr
L1	L111_1095	KLEINE LAAK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	5	3	5	Matig	0.46	Matig	2017	NA	n.r.	NA	0.51	Matig	2014	0.7	Goed	2018	0.1	Slecht	2013-2018	4	1	4	4/apr
L1	L111_1096	GROTE LAAK L1	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	5	3	5	Matig	0.16	Slecht	2014	NA	n.r.	NA	0.25	Ontoereikend	2017	0.23	Slecht	2017	0.1	Slecht	2013-2018	4	1	4	4/apr
VL	VL05_74	MOLENBEEK - TER ERPENBEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Dender	4	3	4	Matig	0.63	Goed	2018	NA	n.r.	NA	0.51	Matig	2013	0.8	Goed	2018	0.2	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_676	WEZELSE BEEK	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	3	3	3	Matig	0.64	Goed	2018	NA	n.r.	NA	0.5	Matig	2018	0.65	Matig	2018	0.53	Matig	2013-2018	4	1	4	4/apr
VL	VL05_24	MEREBEEK + BORISGRACHT + LIEVE	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Gentse Kanalen	3	3	3	Matig	0.65	Goed	2016	NA	n.r.	NA	0.53	Matig	2016	0.85	Goed	2016	0.48	Matig	2013-2018	4	1	4	4/apr
L1	L107_12	VLETERBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Ijzer	5	3	5	Matig	0.66	Goed	2016	NA	n.r.	NA	0.03	Slecht	2014	0.55	Matig	2017	0.55	Matig	2013-2018	4	1	4	4/apr
VL	VL11_127	KLEINE NETE II	rivier	rivier	BgK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Ontoereikend	0.66	Goed	2016	NA	n.r.	NA	0.58	Matig	2017	0.83	Goed	2016	0.58625	Matig	2013-2018	4	1	4	4/apr
VL	VL05_98	DEMER I	rivier	rivier	Bg	Sterk Veranderd	Speerpuntgebied	 Schelde	Demer	4	3	4	Matig	0.68	Goed	2018	NA	n.r.	NA	0.39	Ontoereikend	2018	0.85	Goed	2018	0.55	Matig	2013-2018	4	1	4	4/apr
L1	L111_1105	MELSENBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5		0.48	Matig	2013	NA	n.r.	NA	0	Slecht	2013	0.35	Ontoereikend	2016	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_209	ZWARTESLUISBEEK L1	rivier	rivier	Pz	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	5	3	5	Ontoereikend	0.7	Goed	2016	NA	n.r.	NA	0.23	Ontoereikend	2016	0.6	Goed	2018	0.2	Slecht	2013-2018	4	1	4	4/apr
VL	VL05_114	MUNSTERBEEK	rivier	rivier	BgK	Sterk Veranderd	Speerpuntgebied	 Schelde	Demer	5	3	5	Matig	0.7	Goed	2018	NA	n.r.	NA	0.13	Slecht	2018	0.75	Goed	2018	0.55	Matig	2013-2018	4	1	4	4/apr
VL	VL05_28	BENEDENVLIET	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Matig	0.7	Goed	2018	NA	n.r.	NA	0.08	Slecht	2018	0.3	Ontoereikend	2018	0.37	Matig	2013-2018	4	1	4	4/apr
L1	L111_1109	MOERDIJKVAART L1	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	0.17	Slecht	2013	NA	n.r.	NA	0	Slecht	2013	0.4	Ontoereikend	2013	0.4	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL05_73	MOLENBEEK - PACHTBOSBEEK	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Dender	4	3	4	Matig	0.74	Goed	2017	NA	n.r.	NA	0.38	Ontoereikend	2017	0.7	Goed	2017	0.52	Matig	2013-2018	4	1	4	4/apr
L1	L111_1111	GELEEDBEEK - PASSENDALEGELEED	rivier	rivier	Pb	Natuurlijk     	Andere         	 Schelde	Brugse Polders	5	3	5	Matig	NA	n.r.	NA	NA	n.r.	NA	0.08	Slecht	2017	0.57	Matig	2016	0.45	Matig	2013-2018	3	2	3	3/mrt
VL	VL08_72	MARK (Denderbekken)	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Dender	3	3	3	Matig	0.75	Goed	2017	NA	n.r.	NA	0.51	Matig	2017	0.7	Goed	2017	0.52	Matig	2013-2018	4	1	4	4/apr
L1	L111_1113	LACHENEBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.7	Goed	2016	0.465	Matig	2013-2018	2	1	4	2/apr
